case_name,speed_ms,draft_m,cfd_total_n,cfd_pressure_n,cfd_viscous_n,converged,n_samples,emp_rf_n,emp_rw_n,emp_total_n,loa_m,beam_m
demo_cfd_simple_1.5ms,1.5,0.1752803922630295,13.734219233333333,8.429539066666667,5.304680083333334,True,600,7.55422157989963,21.320473836089366,28.874695415988995,1.9720781231209057,0.9860390615604528
demo_cfd_inter_1.5ms,1.5,0.1752803922630295,16.38649741935484,12.577863612903226,3.808633935483871,False,155,7.55422157989963,21.320473836089366,28.874695415988995,1.9720781231209057,0.9860390615604528
wigley_lb4_simple_1.8499053570385704ms,1.8499053570385704,0.46875,37.22397703703704,23.82910592592593,13.394871407407406,True,138,22.650627367328884,29.80014942394903,52.45077679127792,3.0,0.75
wigley_lb7_simple_1.8499053570385704ms,1.8499053570385704,0.2678571428571428,15.320558923076929,7.004636,8.315923076923077,True,133,12.78906701331812,5.653195374729474,18.442262388047595,3.0,0.4285714285714285
wigley_lb10_simple_1.8499053570385704ms,1.8499053570385704,0.1874999999999999,9.071630999999998,2.9103529999999997,6.161278,True,600,8.925304891791473,1.8456600187104248,10.7709649105019,3.0,0.3
wigley_lb4_inter_1.8499053570385704ms,1.8499053570385704,0.46875,47.37972578947368,36.44667526315789,10.933051842105264,False,194,22.650627367328884,29.80014942394903,52.45077679127792,3.0,0.75
wigley_lb7_inter_1.8499053570385704ms,1.8499053570385704,0.2678571428571428,14.83797310638298,8.305952085106384,6.532020978723405,False,235,12.78906701331812,5.653195374729474,18.442262388047595,3.0,0.4285714285714285
wigley_lb10_inter_1.8499053570385704ms,1.8499053570385704,0.1874999999999999,7.619616333333334,3.021718611111111,4.597897722222222,False,183,8.925304891791473,1.8456600187104248,10.7709649105019,3.0,0.3
wigley_lb4_simple_1.8499053570385704ms_g1.5,1.8499053570385704,0.46875,33.66813283333333,20.55969716666667,13.108435416666667,True,600,22.650627367328884,29.80014942394903,52.45077679127792,3.0,0.75
wigley_lb4_inter_1.8499053570385704ms_g1.5,1.8499053570385704,0.46875,58.936157959183674,48.99285836734694,9.943302367346938,False,246,22.650627367328884,29.80014942394903,52.45077679127792,3.0,0.75
wigley_lb10_simple_1.8499053570385704ms_g1.5,1.8499053570385704,0.1874999999999999,8.982374016666665,2.7987920166666664,6.18358195,True,600,8.925304891791473,1.8456600187104248,10.7709649105019,3.0,0.3
wigley_lb10_inter_1.8499053570385704ms_g1.5,1.8499053570385704,0.1874999999999999,8.255534206896552,3.432463689655173,4.823070689655173,False,294,8.925304891791473,1.8456600187104248,10.7709649105019,3.0,0.3
wigley_lb10_simple_1.8499053570385704ms_g2.0,1.8499053570385704,0.1874999999999999,8.78100149019608,2.3735555294117647,6.407446,True,259,8.925304891791473,1.8456600187104248,10.7709649105019,3.0,0.3
wigley_lb10_inter_1.8499053570385704ms_g2.0,1.8499053570385704,0.1874999999999999,7.88982534177215,2.797463974683545,5.0923613924050635,False,399,8.925304891791473,1.8456600187104248,10.7709649105019,3.0,0.3
demo_cfd_simple_1.5ms_g2.0,1.5,0.1752803922630295,11.398799466666668,6.211399233333333,5.1874002,True,600,7.55422157989963,21.320473836089366,28.874695415988995,1.9720781231209057,0.9860390615604528
demo_cfd_inter_1.5ms_g2.0,1.5,0.1752803922630295,18.98567076666667,14.781820233333333,4.2038508,False,300,7.55422157989963,21.320473836089366,28.874695415988995,1.9720781231209055,0.9860390615604527
