loa,lb,bt,cb,resistance_n,total_mass_kg,stability_margin,feasible,reason
4.949364426323861,3.0934481680132264,4.984304166429488,0.3722744682305522,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.22742919619474,3.955864615116241,3.9819181032591464,0.3781007708368356,14.520760263810255,181.78277968027683,0.14662754116910898,True,
5.799678937756044,3.2547590253199257,3.1901745758073097,0.5180148141316967,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.965159813135646,2.1818165902149387,5.488509294793866,0.5247276963068375,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
2.2640401323685686,2.1249749841871006,5.839549612631797,0.43510938190100124,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.143 m³
3.3186935952933765,3.2090009090121288,4.041056662955405,0.35006612599511294,18.428820494776417,160.86334655180795,0.12430716049368826,True,
2.4492281778159066,2.7861416378383903,5.164439554156629,0.5015965851662736,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.146 m³
3.264936140519198,2.1393654658981642,5.246294417862649,0.396780870360644,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.674139508112746,2.844038860829927,4.432727089822827,0.4459973905400489,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
2.17435664080997,2.0904301292789014,4.745208248303754,0.4190340076858785,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.153 m³
1.2682474507056876,2.143058124046207,5.724202607358171,0.527926758538568,1000000.0,1000000.0,-1000000.0,False,중량 134.7 kg에 필요한 배수용적 0.131 m³가 갑판까지 잠긴 부피보다 큽니다 — 설계 침수.
3.985245624263345,2.623745252427897,5.362732160350836,0.41579625338141135,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.238742056767901,1.7276095597067165,4.759893675236212,0.5931397259129698,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.6002252667389625,1.8764979136114708,4.570289416047265,0.4291986113001225,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.614539627500536,1.7416533317483291,2.541568868312277,0.3740506902719686,30.52467661063693,534.4013569811831,0.04713370297590443,True,
2.828640875941083,3.7295363323891912,4.476258825713106,0.5155911391268565,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.152 m³
1.4128432673280473,2.102072388337,3.8326005993425474,0.5069483668307827,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.067 m³
4.807206941275385,3.0218211093402925,3.478260732378822,0.39487113908720495,16.132456287326544,250.69748892450656,0.056172086811927646,True,
3.223691044467152,2.288504884849244,5.159721101473527,0.5732659969886074,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.059908645764501,1.97830614068989,5.255238908074668,0.3537758160395497,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
1.848936114296953,3.3118260504136154,3.6280118410336875,0.5567766550201367,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.073 m³
4.50443116946143,3.172635753732872,4.60212519422649,0.57826471425447,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.194416947555216,1.7676357568069345,5.9465570018721285,0.45781842812086815,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
2.6184050354657686,3.6996700418940853,5.716502057803197,0.5431999908181446,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.106 m³
4.655223890590228,1.7237849982576043,3.46801466282068,0.5530240552694123,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.992362143051653,2.34563171301728,5.16320600294418,0.37825341902915055,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.789043375154463,2.5200872641417704,2.770884789198186,0.39396220745340105,21.44447084941012,304.2923525180091,0.15200684642156595,True,
3.924956093283213,2.7866538966587013,4.905689778953162,0.4370982690846764,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.062470864541756,2.5638435263442974,5.1886617372675685,0.351633767553194,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.026840888484999,3.0514024422321997,2.7035991777714914,0.5411641555645651,12.216708391671954,238.96109184256093,0.058933862407342885,True,
4.245738342185663,3.8854057896945693,3.1550109797272574,0.4562379533359009,10.654491356435331,202.336823252405,0.11507814151020945,True,
5.351843096786341,3.871798551613491,4.898414869964793,0.43819509154770353,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.770648351713868,2.744881891785462,4.371061156808689,0.5193215470157362,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.664147561458476,1.7203535607218805,4.949457373777582,0.5786417519243735,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
2.996800582033939,2.2447199288631663,4.494161221124966,0.35750805158070864,30.64858231811393,170.38692730456205,0.10773891735541902,True,
5.063746532730253,2.8226462155821563,4.8225770437193,0.5449082819276841,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
1.294118600933799,2.1362930659596784,3.9618295950275866,0.5024656313188965,1000000.0,1000000.0,-1000000.0,False,중량 137.3 kg에 필요한 배수용적 0.134 m³가 갑판까지 잠긴 부피보다 큽니다 — 설계 침수.
2.959500253102356,2.3398622415272157,2.588253040280199,0.4568482354602631,13.812563825769324,194.4074349392609,0.12960500464113636,True,
5.710091902412944,1.7689646019633913,4.600089749091667,0.40101327321553437,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
5.864127876318868,3.5554292669396945,3.255688344839877,0.5928006956639045,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
2.693581363354838,3.2882467502840904,3.4160609692150024,0.42303212607038126,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.163 m³
1.5063375841807278,2.376068933348565,3.93581068787925,0.3567814281096739,1000000.0,1000000.0,-1000000.0,False,중량 137.5 kg에 필요한 배수용적 0.134 m³가 갑판까지 잠긴 부피보다 큽니다 — 설계 침수.
1.2563286259402189,1.7239362383950139,5.580434463003512,0.4537144183431124,1000000.0,1000000.0,-1000000.0,False,중량 136.8 kg에 필요한 배수용적 0.133 m³가 갑판까지 잠긴 부피보다 큽니다 — 설계 침수.
5.599222410417406,2.803473830756359,4.456825997388295,0.44297021717565677,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
4.944848722479535,2.4893284799097164,5.327182475057905,0.4478904816486253,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
1.8104168215275462,2.6602142215527174,2.6022845232675333,0.4468376443278287,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
3.057355922097568,3.32740721265174,5.995910130849043,0.38887918142956546,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.119 m³
4.124647443972367,3.6256310656055066,4.886909263142125,0.4083794448402739,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
3.2150124921493406,3.84578318715664,4.321115330843933,0.5190052082824518,8.20332365657573,156.61111072981197,0.06243958424855134,True,
2.6817891576741757,3.522699789792171,4.4678463649460545,0.5466867092798268,1000000.0,1000000.0,-1000000.0,False,탑재 공간 부족: 짐 0.167 m³ > MaxBox 0.160 m³
2.5447042509425732,2.2342286478024413,3.132551382273228,0.4987925283921042,19.709660840981716,170.70660435121627,0.10793066502913512,True,
1.5793521181033785,2.4948360633244584,4.8252337470397375,0.4194442489297121,1000000.0,1000000.0,-1000000.0,False,중량 138.2 kg에 필요한 배수용적 0.135 m³가 갑판까지 잠긴 부피보다 큽니다 — 설계 침수.
2.4462675220673815,2.2383409099442253,4.1565360291601845,0.5390635913531079,1000000.0,1000000.0,-1000000.0,False,"정역학 필터 불합격: {'displacement': True, 'gm_band': False, 'freeboard': True}"
